provider,case_id,interviewer,emotion,structure,target_words,json_valid,has_parts_key,parts_count_correct,roles_correct,word_count_mae,no_forbidden_punct,latency_s,input_tokens,output_tokens,cost_usd,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,judge_mean,judge_comment
or/mistral-small-3.1,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,24,True,1.461,938,75,0.000116,0.305,,,,,,

or/mistral-small-3.1,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,16,True,0.885,902,40,0.000102,0.1944,,,,,,

or/mistral-small-3.1,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,14,True,1.628,894,39,0.000101,0.3159,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю Познера и выражает сочувствие, но могла бы быть более эмпатичной."

or/mistral-small-3.1,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,24,True,1.6,940,72,0.000116,0.2167,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но вопрос немного отклоняется от темы театра."

or/mistral-large,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,5,True,1.419,1231,35,0.002672,0.462,,,,,,

or/mistral-large,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,7,True,1.791,1156,31,0.002498,0.3724,,,,,,

or/mistral-large,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,12,True,4.367,1239,50,0.002778,0.6139,5.0,5.0,4.0,5.0,4.75,Реплика соответствует стилю Дудя и проявляет сочувствие.

or/mistral-large,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,1,True,1.093,1123,38,0.002474,0.2354,3.0,5.0,1.0,2.0,2.75,Реплика не соответствует требуемой эмоции одобрения.

or/mistral-large,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,4,True,2.533,1239,86,0.002994,0.3433,,,,,,

or/mistral-large,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,3,True,4.106,1150,35,0.00251,0.5371,5.0,5.0,5.0,5.0,5.0,"Реплика отлично соответствует стилю, языку и эмоциональной окраске интервьюера."

or/mistral-large,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,11,True,1.807,1159,62,0.00269,0.298,,,,,,

or/mistral-large,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,5,True,3.53,1114,41,0.002474,0.4638,,,,,,

or/mistral-large,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,4,True,3.46,1129,44,0.002522,0.4183,,,,,,

or/mistral-large,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,17,True,1.918,1153,61,0.002672,0.5361,,,,,,

or/mistral-large,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,2,True,1.508,1147,49,0.002588,0.5086,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и соответствует стилю Собчак, но могла бы быть более острой."

or/mistral-large,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,True,13,True,5.047,1189,79,0.002852,0.3326,,,,,,

or/mistral-large,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,5,True,1.973,1142,36,0.0025,0.5125,,,,,,

or/mistral-large,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,12,True,1.995,1139,68,0.002686,0.5382,3.0,5.0,5.0,4.0,4.25,"Реплика нейтральна и грамматически корректна, но стиль мог бы быть более провокационным."

or/mistral-large,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,19,True,1.777,1165,45,0.0026,0.3081,,,,,,

or/mistral-large,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,27,True,2.28,1188,89,0.00291,0.2556,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, грамматически правильна и нейтральна, но могла бы быть более аналитической."

or/mistral-large,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,28,True,5.032,1169,90,0.002878,0.2747,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/mistral-large,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,16,True,1.307,1115,45,0.0025,0.2553,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."

or/mistral-large,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,8,True,1.732,1104,67,0.00261,0.3393,,,,,,

or/mistral-large,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,28,True,2.155,1171,84,0.002846,0.2497,,,,,,

provider,case_id,interviewer,emotion,structure,target_words,json_valid,has_parts_key,parts_count_correct,roles_correct,word_count_mae,no_forbidden_punct,latency_s,input_tokens,output_tokens,cost_usd,style_cosine,judge_style,judge_language,judge_emotion,judge_overall,judge_mean,judge_comment

or/claude-3.5-haiku,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,3,True,3.164,1165,41,0.001096,0.3492,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более прямолинейной."

or/claude-3.5-haiku,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,2,True,2.109,1089,47,0.001059,0.4849,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю и языку, но не полностью провокационна."

or/claude-3.5-haiku,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,9,True,1.947,1173,67,0.001206,0.3375,4.0,5.0,4.0,4.0,4.25,"Реплика сочувствующая и в стиле Дудя, но могла быть более эмоциональной."

or/claude-3.5-haiku,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,1,True,2.028,1057,42,0.001014,0.2958,2.0,4.0,1.0,2.0,2.25,Реплика не соответствует требуемой эмоции одобрения и стилю Дудя.

or/claude-3.5-haiku,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,0,True,2.288,1175,98,0.001332,0.4185,3.0,4.0,4.0,3.0,3.5,"Реплика нейтральна, но не полностью соответствует стилю Дудя."

or/claude-3.5-haiku,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,2,True,1.711,1073,42,0.001026,0.5086,5.0,5.0,5.0,5.0,5.0,Реплика идеально соответствует стилю и эмоциональной окраске Юрия Дудя.

or/claude-3.5-haiku,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,2,True,2.236,1090,99,0.001268,0.4118,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла быть более динамичной."

or/claude-3.5-haiku,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,6,True,1.549,1039,46,0.001015,0.5936,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла быть более острой."

or/claude-3.5-haiku,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,3,True,1.561,1053,51,0.001046,0.3111,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более провокационной."

or/claude-3.5-haiku,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,10,True,1.991,1078,82,0.00119,0.346,4.0,5.0,4.0,4.0,4.25,"Реплика сочувственная и соответствует стилю Собчак, но могла бы быть более провокационной."

or/claude-3.5-haiku,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,3,True,1.701,1063,55,0.00107,0.6032,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла быть более острой."

or/claude-3.5-haiku,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,True,3,True,3.213,1120,111,0.00134,0.3428,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и тону, но могла бы быть более провокационной."

or/claude-3.5-haiku,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,0,True,2.512,1061,68,0.001121,0.2828,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла быть более острой."

or/claude-3.5-haiku,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,2,False,2.301,1063,91,0.001214,0.3179,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."

or/claude-3.5-haiku,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,15,True,1.945,1098,60,0.001118,0.3153,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/claude-3.5-haiku,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,23,False,2.692,1129,115,0.001363,0.2935,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/claude-3.5-haiku,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,22,False,3.157,1102,127,0.00139,0.2313,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но немного сложновата для его обычного ритма."

or/claude-3.5-haiku,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,11,True,2.596,1051,71,0.001125,0.308,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/claude-3.5-haiku,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,16,True,1.676,1045,52,0.001044,0.3217,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю Познера, но недостаточно эмпатична."

or/claude-3.5-haiku,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,21,True,3.768,1109,136,0.001431,0.2639,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/qwen2.5-72b,dud_01_question_neutral_followup,dud,neutral,question,12,True,True,True,True,2,True,1.912,1014,32,0.000368,0.3097,5.0,5.0,5.0,5.0,5.0,"Реплика соответствует стилю Дудя, грамматически правильна и нейтральна по тону."

or/qwen2.5-72b,dud_02_question_challenge_why,dud,challenge,question,12,True,True,True,True,3,True,3.62,972,37,0.000355,0.5406,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю Дудя, но не полностью провокационна."

or/qwen2.5-72b,dud_03_ack_question_empathy,dud,empathy,acknowledgment+question,20,True,True,True,True,9,True,1.598,1027,51,0.00038,0.4713,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоциональной окраске, но могла бы быть более сочувственной."

or/qwen2.5-72b,dud_04_question_commentary,dud,commentary,question,8,True,True,True,True,1,True,1.347,938,33,0.000342,0.3834,4.0,5.0,3.0,4.0,4.0,"Реплика соответствует стилю и языку, но не полностью передает требуемую эмоцию одобрения."

or/qwen2.5-72b,dud_05_paraphrase_question_neutral,dud,neutral,paraphrase+question,24,True,True,True,True,3,True,3.322,1039,76,0.000394,0.3103,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Дудя, звучит естественно и нейтрально, но могла бы быть чуть более прямолинейной."

or/qwen2.5-72b,dud_06_question_challenge_factcheck,dud,challenge,question,10,True,True,True,True,0,True,1.553,958,33,0.000348,0.2726,3.0,5.0,2.0,3.0,3.25,"Реплика корректна, но не провокационна и не соответствует стилю Дудя."

or/qwen2.5-72b,dud_07_bridge_question_transition,dud,neutral,bridge+question,22,True,True,True,True,8,True,3.152,976,54,0.000363,0.2833,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и тону, но могла бы быть более прямолинейной."

or/qwen2.5-72b,sobchak_08_question_challenge,sobchak,challenge,question,14,True,True,True,True,1,True,2.195,939,45,0.000347,0.5131,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и грамматически правильная, но могла быть более острой."

or/qwen2.5-72b,sobchak_09_question_neutral_transition,sobchak,neutral,question,14,True,True,True,True,2,True,1.465,943,39,0.000346,0.3487,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."

or/qwen2.5-72b,sobchak_10_ack_question_empathy,sobchak,empathy,acknowledgment+question,26,True,True,True,True,12,True,2.379,958,59,0.000359,0.3889,4.0,5.0,5.0,5.0,4.75,"Реплика сочувственная и соответствует стилю Собчак, но могла бы быть более провокационной."

or/qwen2.5-72b,sobchak_11_question_challenge_opinion,sobchak,challenge,question,14,True,True,True,True,3,True,1.621,953,43,0.000351,0.4995,4.0,5.0,4.0,4.0,4.25,"Реплика провокационная и соответствует стилю Собчак, но могла быть более острой."

or/qwen2.5-72b,sobchak_12_paraphrase_question_neutral,sobchak,neutral,paraphrase+question,26,True,True,True,False,12,True,1.867,992,64,0.000373,0.3029,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."

or/qwen2.5-72b,sobchak_13_question_challenge_factcheck,sobchak,challenge,question,14,True,True,True,True,5,True,1.42,956,38,0.00035,0.5045,4.0,5.0,4.0,4.0,4.25,"Реплика соответствует стилю и эмоции, но могла бы быть более провокационной."

or/qwen2.5-72b,sobchak_14_bridge_question_transition,sobchak,neutral,bridge+question,26,True,True,True,True,12,True,2.672,957,61,0.000359,0.2134,3.0,5.0,5.0,4.0,4.25,"Реплика нейтральна и грамматически корректна, но не полностью соответствует стилю Собчак."

or/qwen2.5-72b,pozner_15_question_neutral_values,pozner,neutral,question,28,True,True,True,True,14,True,1.322,973,39,0.000356,0.3163,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/qwen2.5-72b,pozner_16_paraphrase_question_neutral,pozner,neutral,paraphrase+question,50,True,True,True,True,19,False,3.331,996,95,0.000387,0.2636,4.0,5.0,5.0,5.0,4.75,"Реплика соответствует стилю Познера и нейтральному тону, грамматически корректна и логична."

or/qwen2.5-72b,pozner_17_text_question_opinion,pozner,neutral,text+question,50,True,True,True,True,26,True,4.124,982,92,0.00038,0.2227,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

or/qwen2.5-72b,pozner_18_question_neutral_background,pozner,neutral,question,28,True,True,True,True,9,True,1.864,940,50,0.000349,0.1237,4.0,5.0,5.0,4.0,4.5,"Реплика соответствует стилю Познера, но могла бы быть более аналитической."

or/qwen2.5-72b,pozner_19_question_empathy,pozner,empathy,question,28,True,True,True,True,17,True,1.301,927,39,0.00034,0.2538,4.0,5.0,3.0,4.0,4.0,"Реплика корректна, но не полностью отражает сочувствие."

or/qwen2.5-72b,pozner_20_bridge_question_transition,pozner,neutral,bridge+question,50,True,True,True,True,30,True,2.687,992,71,0.000376,0.3537,5.0,5.0,5.0,5.0,5.0,Реплика полностью соответствует стилю и тону Владимира Познера.

